name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
RAOF1-RAOF2	SEEG	uv	0	300	seeg	2048
RAOF2-RAOF3	SEEG	uv	0	300	seeg	2048
RAOF3-RAOF4	SEEG	uv	0	300	seeg	2048
RAOF4-RAOF5	SEEG	uv	0	300	seeg	2048
RAOF5-RAOF6	SEEG	uv	0	300	seeg	2048
RAOF6-RAOF7	SEEG	uv	0	300	seeg	2048
RAOF7-RAOF8	SEEG	uv	0	300	seeg	2048
RAOF8-RAOF9	SEEG	uv	0	300	seeg	2048
RAOF9-RAOF10	SEEG	uv	0	300	seeg	2048
RAOF10-RAOF11	SEEG	uv	0	300	seeg	2048
RAOF11-RAOF12	SEEG	uv	0	300	seeg	2048
RAOF12-RAOF13	SEEG	uv	0	300	seeg	2048
RAOF13-RAOF14	SEEG	uv	0	300	seeg	2048
RAOF14-RAOF13	SEEG	uv	0	300	seeg	2048
RPOF1-RPOF2	SEEG	uv	0	300	seeg	2048
RPOF2-RPOF3	SEEG	uv	0	300	seeg	2048
RPOF3-RPOF4	SEEG	uv	0	300	seeg	2048
RPOF4-RPOF5	SEEG	uv	0	300	seeg	2048
RPOF5-RPOF6	SEEG	uv	0	300	seeg	2048
RPOF6-RPOF7	SEEG	uv	0	300	seeg	2048
RPOF7-RPOF8	SEEG	uv	0	300	seeg	2048
RPOF8-RPOF9	SEEG	uv	0	300	seeg	2048
RPOF9-RPOF10	SEEG	uv	0	300	seeg	2048
RPOF10-RPOF11	SEEG	uv	0	300	seeg	2048
RPOF11-RPOF12	SEEG	uv	0	300	seeg	2048
RPOF12-RPOF13	SEEG	uv	0	300	seeg	2048
RPOF13-RPOF14	SEEG	uv	0	300	seeg	2048
RPOF14-RPOF15	SEEG	uv	0	300	seeg	2048
RPOF15-RPOF16	SEEG	uv	0	300	seeg	2048
RPOF16-RPOF15	SEEG	uv	0	300	seeg	2048
RAIN1-RAIN2	SEEG	uv	0	300	seeg	2048
RAIN2-RAIN3	SEEG	uv	0	300	seeg	2048
RAIN3-RAIN4	SEEG	uv	0	300	seeg	2048
RAIN4-RAIN5	SEEG	uv	0	300	seeg	2048
RAIN5-RAIN6	SEEG	uv	0	300	seeg	2048
RAIN6-RAIN7	SEEG	uv	0	300	seeg	2048
RAIN7-RAIN8	SEEG	uv	0	300	seeg	2048
RAIN8-RAIN9	SEEG	uv	0	300	seeg	2048
RAIN9-RAIN10	SEEG	uv	0	300	seeg	2048
RAIN10-RAIN11	SEEG	uv	0	300	seeg	2048
RAIN11-RAIN12	SEEG	uv	0	300	seeg	2048
RAIN12-RAIN13	SEEG	uv	0	300	seeg	2048
RAIN13-RAIN14	SEEG	uv	0	300	seeg	2048
RAIN14-RAIN15	SEEG	uv	0	300	seeg	2048
RAIN15-RAIN16	SEEG	uv	0	300	seeg	2048
RAIN16-RAIN15	SEEG	uv	0	300	seeg	2048
RMIN1-RMIN2	SEEG	uv	0	300	seeg	2048
RMIN2-RMIN3	SEEG	uv	0	300	seeg	2048
RMIN3-RMIN4	SEEG	uv	0	300	seeg	2048
RMIN4-RMIN5	SEEG	uv	0	300	seeg	2048
RMIN5-RMIN6	SEEG	uv	0	300	seeg	2048
RMIN6-RMIN7	SEEG	uv	0	300	seeg	2048
RMIN7-RMIN8	SEEG	uv	0	300	seeg	2048
RMIN8-RMIN9	SEEG	uv	0	300	seeg	2048
RMIN9-RMIN10	SEEG	uv	0	300	seeg	2048
RMIN10-RMIN11	SEEG	uv	0	300	seeg	2048
RMIN11-RMIN12	SEEG	uv	0	300	seeg	2048
RMIN12-RMIN13	SEEG	uv	0	300	seeg	2048
RMIN13-RMIN14	SEEG	uv	0	300	seeg	2048
RMIN14-RMIN15	SEEG	uv	0	300	seeg	2048
RMIN15-RMIN16	SEEG	uv	0	300	seeg	2048
RMIN16-RMIN15	SEEG	uv	0	300	seeg	2048
RAC1-RAC2	SEEG	uv	0	300	seeg	2048
RAC2-RAC3	SEEG	uv	0	300	seeg	2048
RAC3-RAC4	SEEG	uv	0	300	seeg	2048
RAC4-RAC5	SEEG	uv	0	300	seeg	2048
RAC5-RAC6	SEEG	uv	0	300	seeg	2048
RAC6-RAC7	SEEG	uv	0	300	seeg	2048
RAC7-RAC8	SEEG	uv	0	300	seeg	2048
RAC8-RAC9	SEEG	uv	0	300	seeg	2048
RAC9-RAC10	SEEG	uv	0	300	seeg	2048
RAC10-RAC11	SEEG	uv	0	300	seeg	2048
RAC11-RAC12	SEEG	uv	0	300	seeg	2048
RAC12-RAC13	SEEG	uv	0	300	seeg	2048
RAC13-RAC14	SEEG	uv	0	300	seeg	2048
RAC14-RAC15	SEEG	uv	0	300	seeg	2048
RAC15-RAC16	SEEG	uv	0	300	seeg	2048
RAC16-RAC15	SEEG	uv	0	300	seeg	2048
RMC1-RMC2	SEEG	uv	0	300	seeg	2048
RMC2-RMC3	SEEG	uv	0	300	seeg	2048
RMC3-RMC4	SEEG	uv	0	300	seeg	2048
RMC4-RMC5	SEEG	uv	0	300	seeg	2048
RMC5-RMC6	SEEG	uv	0	300	seeg	2048
RMC6-RMC7	SEEG	uv	0	300	seeg	2048
RMC7-RMC8	SEEG	uv	0	300	seeg	2048
RMC8-RMC9	SEEG	uv	0	300	seeg	2048
RMC9-RMC10	SEEG	uv	0	300	seeg	2048
RMC10-RMC11	SEEG	uv	0	300	seeg	2048
RMC11-RMC12	SEEG	uv	0	300	seeg	2048
RMC12-RMC13	SEEG	uv	0	300	seeg	2048
RMC13-RMC14	SEEG	uv	0	300	seeg	2048
RMC14-RMC13	SEEG	uv	0	300	seeg	2048
RPC1-RPC2	SEEG	uv	0	300	seeg	2048
